Lab ID,Age,Error,Depth
KIA 45243,450,30,10
KIA 43167,3970,30,101
KIA 43827,6145,35,188
KIA 43829,7940,40,223
KIA 41418,9930,50,253
KIA 41419,10560,60,283
KIA 41420,11620,70,306
KIA 41421,13070,70,358
KIA 41422,13590,70,388
KIA 43168,14270,70,424
KIA 45244,15400,70,488
KIA 45245,16360,80,515
KIA 41424,17170,120,568
KIA 45246,17870,110,605
KIA 43821,20530,200,659
KIA 43169,23750,190,781
KIA 43822,26210,165,834
KIA 43823,28360,330,875
KIA 45247,30200,365,935
KIA 43179,32750,590,968
KIA 43824,34640,710,1005
KIA 43825,37740,1035,1071
