depth	min	max	median	mean
10	-67	238	20	35
11	-46	287	60	75
12	-35	358	100	116
13	-27	474	136	156
14	-20	603	169	197
15	-12	725	203	237
16	-6	854	237	278
17	0	975	270	318
18	7	1098	300	359
19	13	1224	330	399
20	19	1350	361	440
21	53	1383	398	477
22	77	1409	439	513
23	95	1436	479	550
24	110	1466	522	587
25	123	1500	562	624
26	136	1537	600	660
27	147	1570	635	697
28	160	1615	666	734
29	169	1678	699	771
30	178	1733	737	807
31	233	1756	781	851
32	271	1778	824	895
33	302	1808	873	939
34	334	1850	922	982
35	356	1888	971	1026
36	377	1944	1019	1070
37	391	2011	1062	1113
38	414	2088	1104	1157
39	436	2174	1147	1201
40	446	2273	1189	1244
41	491	2294	1230	1283
42	533	2315	1276	1321
43	568	2341	1316	1360
44	601	2376	1359	1398
45	636	2401	1401	1437
46	661	2437	1444	1475
47	679	2481	1485	1514
48	699	2538	1524	1552
49	717	2581	1564	1591
50	744	2636	1602	1629
51	779	2666	1643	1671
52	827	2702	1685	1712
53	863	2722	1726	1753
54	897	2753	1774	1795
55	924	2789	1818	1836
56	940	2830	1865	1877
57	962	2872	1909	1919
58	976	2926	1949	1960
59	999	2989	1994	2001
60	1019	3063	2036	2042
61	1077	3080	2077	2085
62	1145	3109	2125	2127
63	1195	3134	2170	2169
64	1248	3160	2215	2211
65	1284	3183	2266	2253
66	1310	3204	2311	2295
67	1357	3233	2353	2337
68	1390	3265	2398	2379
69	1422	3303	2444	2421
70	1447	3361	2490	2463
71	1501	3373	2530	2503
72	1558	3387	2569	2542
73	1626	3402	2609	2581
74	1671	3427	2649	2620
75	1700	3447	2694	2659
76	1734	3473	2737	2698
77	1762	3501	2783	2737
78	1786	3531	2827	2776
79	1812	3565	2867	2815
80	1832	3615	2910	2854
81	1932	3625	2952	2900
82	2023	3637	2994	2947
83	2112	3653	3036	2993
84	2198	3662	3084	3039
85	2265	3677	3131	3086
86	2319	3690	3178	3132
87	2360	3709	3229	3178
88	2394	3741	3277	3224
89	2427	3770	3329	3271
90	2452	3820	3380	3317
91	2578	3827	3415	3359
92	2702	3834	3448	3402
93	2823	3842	3483	3444
94	2936	3853	3517	3487
95	3055	3867	3550	3529
96	3165	3884	3585	3572
97	3270	3902	3622	3614
98	3362	3925	3660	3657
99	3436	3954	3701	3699
100	3480	3982	3743	3742
101	3522	4008	3774	3773
102	3557	4042	3805	3805
103	3581	4089	3835	3836
104	3609	4147	3864	3868
105	3624	4211	3892	3899
106	3637	4289	3916	3931
107	3653	4373	3942	3962
108	3666	4459	3969	3994
109	3677	4541	3995	4025
110	3686	4628	4019	4057
111	3717	4650	4054	4088
112	3742	4679	4086	4119
113	3762	4707	4118	4150
114	3782	4728	4150	4181
115	3799	4776	4182	4212
116	3810	4826	4214	4244
117	3822	4887	4246	4275
118	3835	4953	4277	4306
119	3845	5004	4307	4337
120	3855	5067	4336	4368
121	3890	5086	4371	4400
122	3916	5110	4405	4431
123	3938	5128	4438	4463
124	3957	5159	4476	4495
125	3976	5191	4510	4526
126	3995	5214	4542	4558
127	4012	5255	4578	4589
128	4026	5301	4610	4621
129	4039	5354	4639	4653
130	4052	5427	4668	4684
131	4085	5441	4695	4713
132	4108	5458	4724	4741
133	4133	5476	4758	4769
134	4149	5497	4789	4797
135	4170	5525	4820	4826
136	4191	5549	4851	4854
137	4208	5576	4884	4882
138	4227	5608	4917	4910
139	4240	5640	4945	4938
140	4250	5671	4974	4967
141	4301	5686	5007	4998
142	4340	5701	5038	5029
143	4370	5725	5070	5061
144	4396	5744	5104	5092
145	4427	5771	5136	5124
146	4450	5790	5168	5155
147	4470	5816	5205	5186
148	4491	5851	5238	5218
149	4508	5891	5269	5249
150	4524	5925	5300	5280
151	4581	5939	5329	5309
152	4636	5952	5356	5338
153	4683	5969	5382	5366
154	4722	5980	5410	5395
155	4753	6000	5441	5424
156	4779	6017	5467	5452
157	4810	6038	5495	5481
158	4834	6070	5522	5510
159	4861	6098	5551	5538
160	4884	6130	5582	5567
161	4921	6147	5609	5595
162	4966	6152	5638	5623
163	4993	6171	5667	5651
164	5023	6187	5698	5679
165	5047	6203	5728	5707
166	5073	6226	5759	5735
167	5099	6249	5791	5763
168	5117	6270	5823	5791
169	5136	6305	5852	5819
170	5158	6341	5881	5847
171	5229	6355	5910	5877
172	5280	6366	5939	5906
173	5330	6378	5966	5935
174	5373	6393	5995	5965
175	5403	6404	6023	5994
176	5445	6418	6053	6023
177	5491	6443	6085	6053
178	5511	6470	6117	6082
179	5528	6498	6147	6112
180	5547	6528	6176	6141
181	5654	6537	6201	6175
182	5757	6549	6227	6208
183	5854	6564	6253	6242
184	5944	6578	6280	6275
185	6030	6594	6306	6309
186	6105	6614	6335	6343
187	6166	6637	6367	6376
188	6204	6665	6400	6410
189	6227	6709	6434	6444
190	6248	6769	6466	6477
191	6292	6812	6511	6524
192	6321	6874	6558	6570
193	6341	6946	6605	6617
194	6360	7032	6651	6663
195	6377	7137	6694	6710
196	6393	7239	6736	6757
197	6407	7338	6779	6803
198	6416	7439	6821	6850
199	6427	7545	6862	6896
200	6437	7659	6903	6943
201	6522	7681	6954	6996
202	6579	7703	7012	7050
203	6623	7729	7072	7104
204	6660	7755	7133	7157
205	6685	7789	7198	7211
206	6712	7817	7261	7264
207	6740	7866	7324	7318
208	6761	7925	7383	7371
209	6785	7987	7438	7425
210	6810	8075	7497	7479
211	6907	8088	7538	7527
212	7004	8100	7584	7575
213	7089	8114	7629	7623
214	7172	8132	7676	7672
215	7242	8146	7727	7720
216	7307	8166	7777	7768
217	7359	8196	7830	7816
218	7400	8229	7884	7865
219	7437	8268	7939	7913
220	7466	8324	7991	7961
221	7689	8350	8069	8053
222	7885	8387	8148	8144
223	8017	8450	8238	8236
224	8085	8579	8326	8327
225	8128	8767	8404	8419
226	8157	8994	8481	8511
227	8183	9228	8558	8602
228	8198	9471	8635	8694
229	8218	9700	8714	8785
230	8232	9938	8791	8877
231	8363	9973	8885	8969
232	8447	10019	8982	9060
233	8521	10059	9091	9152
234	8574	10117	9204	9244
235	8620	10167	9322	9336
236	8666	10231	9429	9428
237	8701	10288	9533	9519
238	8736	10379	9639	9611
239	8771	10492	9736	9703
240	8800	10621	9824	9795
241	8969	10635	9901	9875
242	9134	10653	9977	9956
243	9303	10669	10054	10036
244	9467	10691	10132	10117
245	9624	10718	10208	10198
246	9767	10748	10288	10278
247	9900	10781	10364	10359
248	10004	10828	10448	10439
249	10100	10877	10530	10520
250	10187	10954	10612	10600
251	10241	10973	10646	10637
252	10298	10993	10681	10674
253	10347	11018	10717	10711
254	10392	11045	10753	10747
255	10425	11085	10789	10784
256	10452	11127	10824	10821
257	10479	11184	10859	10858
258	10502	11246	10892	10894
259	10527	11319	10927	10931
260	10540	11404	10961	10968
261	10580	11420	10992	10998
262	10613	11441	11023	11028
263	10655	11463	11051	11057
264	10688	11488	11084	11087
265	10717	11514	11115	11117
266	10740	11545	11148	11147
267	10759	11579	11179	11177
268	10776	11622	11211	11206
