References,Location,Sample number,Family,Species,Leaf life-span,Source,Photosynthetic pathway,Tissue,Extraction method,Solvent,Latitude (ºN),Longitude (ºE),Elevation (m),c.n.C27,c.n.C29,c.n.C31,c.n.C33,c.n.C35,d.n.C27,d.n.C29,d.n.C31,d.n.C33,d.n.C35
"Vogts et al., 2009",Gabon,,,Combretum conchipetalum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-3.01667,10.36667,,25.4,81,135,5.6,1.1,,-37.3,-36.2,,
"Vogts et al., 2009",Gabon,,,Combretum racemosum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.27639,14.11917,,4.1,156,16,8.5,,,-38.7,-38.1,,
"Vogts et al., 2009",Gabon,,Celastraceae,Cuervea macrophylla,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,2.00972,14.11917,,2.8,88.6,93.1,6,,,-38.2,-38.7,,
"Vogts et al., 2009",Gabon,,,Landolphia mannii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.95056,10.35167,,31.2,237,97.5,12.9,3.4,,,,,
"Vogts et al., 2009",Gabon,,,Paullinia pinnata,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,17.2,427,38,13.7,,,-39.7,-38.5,,
"Vogts et al., 2009",Gabon,,,Psychotria ealensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,15.2,453,13,4.3,,,-35.5,-35.3,,
"Vogts et al., 2009",Gabon,,,Coffea sp.,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.8,12.08333,,12.5,484,317,33.8,13.3,,-35.1,-34.6,,
"Vogts et al., 2009",Gabon,,,Combretum erosum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.68333,11.91667,,21.6,1,18.5,,,-33,-32.3,-32,,
"Vogts et al., 2009",Gabon,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.98139,10.48806,,36.7,191,779,96,2.3,,-35.6,-36.1,-37,
"Vogts et al., 2009",Benin,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,7.03333,2.46667,,4.2,373,119,122,2.6,,-35.6,-36.1,-34,
"Vogts et al., 2009",Benin,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,6.08333,1.6,,22,22,538,61.9,1.2,-34.5,-36.7,-36.5,,
"Vogts et al., 2009",Benin,,,Combretum molle,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,10.06806,1.5525,,19.3,41.4,23.5,12.9,1,-31.9,-34.3,-35.7,,
"Vogts et al., 2009",Gabon,,,Englerina gabonensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-3.01667,10.36667,,79.4,1933,38,,,,-42.2,,,
"Vogts et al., 2009",Congo,,,Ficus natalensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.36833,14.08417,,25.6,611,125,2.4,,,-38.8,,,
"Vogts et al., 2009",Benin,,,Ficus thonningii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,10.13361,1.43583,,11.4,84.4,63.3,7.9,,,-37.8,-37.9,-37.9,
"Vogts et al., 2009",Gabon,,,Oxyanthus unilocularis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.93472,10.31861,,9.6,363,415,42.3,1.4,,-36.8,-37,-35.8,
"Vogts et al., 2009",Gabon,,,Stipularia africana,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,9.2,19.5,31.2,9,,,-34.3,,,
"Vogts et al., 2009",Gabon,,,Berlinia confusa,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.66667,13,,114.3,197,21,1.9,1.4,,-34.7,,,
"Vogts et al., 2009",Gabon,,,Cynometra mannii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.00306,10.43972,,13.4,343,29.2,1.9,,,-39.1,,,
"Vogts et al., 2009",Gabon,,,Ficus ottoniifolia,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,0.85,13.45,,11,124,76.2,6.5,0.1,,-44.9,-45.9,,
