,Habitat,0.9 ka,4.0 ka,7.8 ka,10.6 ka,13.8 ka,15.8 ka,22.7 ka,30.0 ka,33.5 ka
Aca [#],SV,0,0,0,0,1,0,0,0,0
AcacPark [#],SV,0,0,0,0,0,0,0,0,0
Acanteae [#],SV,1,0,1,0,0,0,0,0,0
Adenia [#],-,0,0,0,0,0,0,0,0,0
Aeschynom [#],SV,0,0,0,0,0,0,1,0,0
Afzelia [#],SV,0,0,0,0,0,0,0,0,0
Aizoeae [#],SV,0,1,0,0,0,1,1,0,1
Alchornea [#],RF,0,1,0,1,3,0,0,0,0
Aliae [#],SW,1,1,0,0,0,0,1,0,0
Aloe-T [#],MTD,0,0,0,0,0,0,0,0,0
Amanoa [#],SV,0,0,0,0,0,0,0,0,0
Amaceae [#],C4,0,0,0,0,0,1,0,0,0
Anthosp [#],MTD,0,0,2,0,0,0,0,0,0
Apoceae [#],-,0,0,0,0,0,0,0,0,0
Arecceae [#],SV,0,0,0,0,0,0,0,0,0
Artemisi [#],SW,0,0,0,0,1,0,0,1,0
Ascae [#],-,0,0,0,0,0,0,0,0,0
Aph [#],-,0,0,0,0,0,0,0,0,0
Avicenni [#],SW,0,1,0,0,0,0,0,0,0
Balanite [#],SV,0,1,0,0,0,0,0,0,0
Baphia-T [#],RF,0,0,0,2,0,0,0,0,0
Barringtonia [#],SW,0,0,0,0,0,0,0,0,0
Bertiera [#],RF,1,0,0,0,0,0,0,0,1
Blighi-T [#],RF,0,0,0,0,0,0,0,0,0
Boscia [#],SV,1,0,1,0,0,0,0,0,0
Brachyst [#],SV,0,1,0,0,2,1,1,2,0
Braae [#],-,0,0,0,0,0,0,0,0,0
Bridelia [#],SV,0,0,0,0,0,0,0,0,0
Burkea [#],SV,0,0,0,0,1,0,0,0,0
Bux-T madagasc [#],RF,0,0,0,0,0,0,0,0,1
Cag [#],-,0,0,0,0,0,0,0,0,0
Caperonia [#],SV,0,0,0,1,0,0,0,0,0
Cphae [#],-,0,0,0,0,0,0,0,0,0
Cassia-T [#],SV,1,0,0,0,3,0,1,0,0
Cayratia [#],-,0,0,0,0,0,0,0,0,0
Ceiba pen [#],SV,0,0,0,0,0,0,0,0,0
Celae [#],RF,0,0,0,0,0,0,0,0,0
Cel [#],SV,0,0,0,0,0,0,1,0,0
Chrysophyllum [#],RF,0,0,0,0,0,0,0,0,0
Cleome [#],SV,0,0,0,1,0,0,0,0,0
Cliffortia [#],MTD,0,1,1,0,0,0,0,0,0
